name,category,description,theoretical_role,design,preset,seed_mode
BASELINE,baseline,Canonical mixed fixed-tier design.,Reference estimate for all paired condition-vs-baseline comparisons.,fixed_mixed,minimal,paired
ADOPT_BASELINE,endogenous_adoption,"Endogenous tier choice under the baseline economy: founders start unaided and pick tiers from experienced ROI, posted prices, and peer signals.","The adoption equilibrium itself: if the market sorts away from frontier AI while mid tiers persist, the equilibrium prices the trap that the fixed-tier design identifies causally. Anchor cell for the family.",emergent,adoption,paired
ADOPT_FREE_AI,endogenous_adoption,Endogenous tier choice with all AI subscription and usage costs at zero.,"Separates price-avoidance from trap-avoidance in the adoption equilibrium: if founders shun frontier AI only because it is expensive, free frontier AI should sweep the market; if the trap is epistemic, adoption rises and the population pays in survival instead of fees.",emergent,adoption,paired
ADOPT_SUBSCRIPTION_ERA,endogenous_adoption,Endogenous tier choice under subscription-era pricing (seat fees plus metered usage) in place of the usage-based default.,"Adoption-side mirror of SUBSCRIPTION_ERA: does the contractual seat-fee architecture, with its high trial gate, change the equilibrium mix relative to buying intelligence at the margin?",emergent,adoption,paired
ADOPT_ERROR_FREE,endogenous_adoption,Endogenous tier choice with hallucination and overconfidence removed from all AI tiers.,Adoption-side mirror of NO_AI_ERRORS: tests whether error-free instruments change tier demand through experienced consequences rather than instrument quality alone.,emergent,adoption,paired
ADOPT_NO_CROWDING,endogenous_adoption,Endogenous tier choice with competition dynamics and convex crowding dilution disabled.,"Adoption-side mirror of NO_CROWDING: with the market-punishment channel removed, frontier ROI improves mechanically — does adoption recover toward the high tiers? Locates how much of the equilibrium's frontier-avoidance is learned crowding cost.",emergent,adoption,paired
ADOPT_COST_2X,endogenous_adoption,Endogenous tier choice with all AI costs doubled.,Price-elasticity arm of the adoption family: bounds how the equilibrium mix responds to the most contested assumption (pricing) in the direction opposite ADOPT_FREE_AI.,emergent,adoption,paired
ADOPT_STRATEGIES_ALL,endogenous_adoption,"Endogenous tier choice with the full strategic repertoire (consensus discounting, comparative advantage, complement-seeking) active for every founder.","Tests whether strategic sophistication changes what the market learns to buy: if strategies cannot rescue frontier survival (P1/P8), sophisticated founders should not adopt frontier AI at higher rates either.",emergent,adoption,paired
ADOPT_FAST_LEARNING,endogenous_adoption,Endogenous tier choice with monthly tier reviews after a 6-round initial freeze (default: every 3 rounds after 12).,Sorting-speed bound: a faster-learning market should reach the same equilibrium mix sooner if the equilibrium reflects experienced consequences; a different mix would mean the equilibrium is cadence-dependent.,emergent,adoption,paired
ADOPT_SLOW_LEARNING,endogenous_adoption,Endogenous tier choice with tier reviews every 6 rounds after an 18-round initial freeze.,Sorting-speed bound in the slow direction; together with ADOPT_FAST_LEARNING brackets the learning-cadence assumption.,emergent,adoption,paired
HUMAN_BASELINE_WEAK,supplemental_addendum,Unaided founders' published characteristics lowered to quality 0.15 / breadth 0.12 (default 0.25 / 0.20); AI tiers unchanged.,Lower bracket of the unaided-search anchor: shows whether the frontier trap's magnitude depends on how weak the no-AI comparison group is assumed to be.,fixed_mixed,adoption,paired
HUMAN_BASELINE_STRONG,supplemental_addendum,Unaided founders' published characteristics raised to quality 0.35 / breadth 0.30; AI tiers unchanged.,"Upper bracket of the unaided-search anchor: a stronger unaided floor narrows the first-order information gap — if the trap shrinks proportionally, it is information-gap-driven; if not, the anchor was not doing hidden work.",fixed_mixed,adoption,paired
NO_AI_BIAS,supplemental_addendum,Systematic bias term removed from all AI estimates (AI_BIAS_INTENSITY=0); hallucination and overconfidence unchanged.,Isolates the systematic-bias channel while leaving hallucination and overconfidence unchanged.,fixed_mixed,adoption,paired
WEALTH_SCALED_COMPUTE,supplemental_addendum,"Analysis breadth scales with founder resources (visibility budget x clamp(capital/initial equity, 0.25, 4.0)), uniformly across tiers; extra analyses billed per use.","The rich-get-richer marginal-compute dynamic as a direct experiment rather than a design exclusion: if early winners buying more analysis could invert the frontier trap, this cell is where it would show.",fixed_mixed,adoption,paired
