name,category,description,theoretical_role,design,preset,seed_mode
BASELINE,baseline,Canonical mixed fixed-tier design.,Reference estimate for all paired condition-vs-baseline comparisons.,fixed_mixed,minimal,paired
SHAM_AI_LABELS_FREE,internal_validity_placebo,Strict placebo: non-none labels are retained for grouping but all non-none tiers use no-AI behavior with no AI costs.,"If tier labels alone generate effects, the model is biased; effects should collapse toward zero.",fixed_mixed,minimal,paired
NO_INFORMATION_ADVANTAGE_FREE,internal_validity_placebo,"Paid tiers receive human-level information and domain capabilities, with AI costs removed.",Separates information-processing advantage from residual tier-label behavior.,fixed_mixed,core,paired
FREE_AI,internal_validity_placebo,AI subscription and usage costs are zero.,Tests whether the frontier_ai result is a pricing artifact rather than a future-knowledge mechanism.,fixed_mixed,minimal,paired
NO_AI_ERRORS,internal_validity_placebo,Remove hallucination and overconfidence penalties.,Tests whether the paradox is reducible to AI mistakes rather than endogenous market response.,fixed_mixed,minimal,paired
NO_CROWDING,mechanism_decomposition,Disable opportunity-level competition dynamics and convex crowding return dilution.,Refutes the second-order crowding channel if frontier_ai penalties persist unchanged.,fixed_mixed,minimal,paired
NO_RETURN_DILUTION,mechanism_decomposition,Set only the convex capital-saturation return-dilution term to zero; competition and recursion signals remain active.,Distinguishes economic crowding losses from informational/behavioral convergence.,fixed_mixed,core,paired
PERFORMATIVE_COMMON_025,performativity,"Performative demand (ψ=0.25, common): effective niche capacity grows with lagged collective dollar commitment; the enlarged demand is shared by all founders in the niche.","Tests whether the frontier deficit is an artifact of objective/fixed value by making demand endogenously performed by prior collective action; survival of the deficit shows the mechanism runs on capture under convergence, not on value being pre-given.",fixed_mixed,expanded,paired
PERFORMATIVE_COMMON_050,performativity,"Performative demand (ψ=0.50, common): effective niche capacity grows with lagged collective dollar commitment; the enlarged demand is shared by all founders in the niche.",Dose-response for performed demand as a common good.,fixed_mixed,expanded,paired
PERFORMATIVE_COMMON_100,performativity,"Performative demand (ψ=1.00, common): effective niche capacity grows with lagged collective dollar commitment; the enlarged demand is shared by all founders in the niche.","Upper-dose performed-demand common-good test; if the deficit only closes here, escape requires implausibly elastic performed demand.",fixed_mixed,expanded,paired
PERFORMATIVE_APPROPRIABLE_025,performativity,"Performative demand (ψ=0.25, appropriable): the demand uplift accrues to each founder in proportion to their own commitment share (category ownership).",Tests whether performativity escapes the trap only when the performed demand is privately appropriable — the same appropriability condition the execution-moat results identify.,fixed_mixed,expanded,paired
PERFORMATIVE_APPROPRIABLE_050,performativity,"Performative demand (ψ=0.50, appropriable): the demand uplift accrues to each founder in proportion to their own commitment share (category ownership).",Dose-response for appropriable performed demand.,fixed_mixed,expanded,paired
PERFORMATIVE_APPROPRIABLE_100,performativity,"Performative demand (ψ=1.00, appropriable): the demand uplift accrues to each founder in proportion to their own commitment share (category ownership).",Upper-dose appropriable performed-demand test.,fixed_mixed,expanded,paired
CROWDING_ACTION_HHI_BLEND,mechanism_decomposition,Previous payoff equation: add 0.30 times the market-wide action-category HHI to each opportunity's outstanding-capital load.,Tests whether the pure I/K canonical result depends on excluding a market-wide action-concentration term from the local capacity constraint.,fixed_mixed,expanded,paired
NO_CREATED_BONUS,mechanism_decomposition,"Remove the created-opportunity scoring affinities (any-created x1.1, own-creation x1.2 -> both 1.0).",Tests whether creation-channel convergence depends on the hard-coded scoring attraction to founder-created niches.,fixed_mixed,expanded,paired
